"Data Source","World Development Indicators",

"Last Updated Date","2024-06-25",

"Burundi","BDI","Population, total","SP.POP.TOTL","5987043","6060111","6122130","6185562","6267124","6378871","6525545","6704113","6909154","7131693","7364862","7607849","7862214","8126102","8397668","8675602","8958406","9245988","9540289","9844297","10160030","10487998","10827024","11175378","11531000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Population, total","SP.POP.TOTL","10136811","10156637","10181245","10203008","10226419","10251250","10286570","10332785","10376133","10421137","10478617","10547958","10625700","10709973","10796493","10895586","11038264","11106932","11159407","11209057","11274196","11331422","11375158","11433256","11483000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Population, total","SP.POP.TOTL","5905558","6094259","6281639","6470265","6664098","6865951","7076733","7295394","7520555","7750004","7982225","8216897","8454793","8696921","8944708","9199259","9460830","9729248","10004588","10286842","10575952","10872067","11175204","11485048","11801000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Population, total","SP.POP.TOTL","10089878","10372745","10665546","10968724","11282701","11607942","11944587","12293100","12654621","13030569","13421930","13829176","14252021","14689725","15141098","15605217","16081911","16571246","17072775","17586017","18110624","18646378","19193284","19751535","20321000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Population, total","SP.POP.TOTL","115169930","117649932","120160564","122682815","125189651","127657854","130088702","132478086","134791603","136986432","139035505","140921167","142660376","144304167","145924797","147575430","149273778","151007807","152764676","154520167","156256276","157970840","159670593","161356039","163046000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Population, total","SP.POP.TOTL","8406067","8362826","8312068","8256786","8210624","8170172","8009142","7837161","7775327","7716860","7658972","7601022","7545338","7492561","7444443","7395599","7348328","7305888","7265115","7223938","7177991","7127822","7075947","7025037","6970000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Population, total","SP.POP.TOTL","563697","578666","594931","613700","636541","664611","697545","735146","778708","829844","889164","958418","1035919","1114641","1185076","1240860","1278151","1299943","1315029","1336075","1371851","1425791","1494074","1569439","1641000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Population, total","SP.POP.TOTL","280184","283978","287358","290597","294062","298051","302618","307660","313129","318894","324859","331033","337389","343681","349604","354942","359577","363584","367168","370633","374206","377931","381761","385640","389000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Population, total","SP.POP.TOTL","3829050","3764425","3736070","3734337","3743354","3751176","3755512","3759387","3762173","3764194","3765331","3765424","3762786","3754271","3735938","3705472","3661175","3604972","3542605","3482104","3429361","3386267","3351527","3323929","3301000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Population, total","SP.POP.TOTL","10194000","10160000","10117000","10069000","10026738","9979610","9928549","9865548","9796749","9730146","9663915","9604924","9560953","9527985","9506765","9490583","9473172","9464495","9465997","9474511","9489616","9501534","9498264","9483499","9467000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Population, total","SP.POP.TOTL","206963","213664","221580","230244","238988","247315","255063","262378","269425","276504","283800","291329","299025","306823","314655","322464","330237","338000","345715","353366","360933","368400","375769","383071","390000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Population, total","SP.POP.TOTL","59746","60129","60497","60943","61285","61833","62504","62912","63325","63740","64154","64523","64888","65273","65636","65124","64564","64798","65001","65139","65239","64555","63874","63973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population, total","SP.POP.TOTL","7622338","7779267","7937458","8096761","8257066","8418264","8580235","8742814","8905823","9069039","9232306","9395446","9558439","9721454","9884781","10048590","10212954","10377676","10542376","10706517","10869730","11031813","11192854","11353142","11513000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Population, total","SP.POP.TOTL","162019896","164614688","167209040","169785250","172318675","174790340","177196054","179537520","181809246","184006481","186127103","188167356","190130443","192030362","193886508","195713635","197514534","199287296","201035903","202763735","204471769","206163058","207833831","209469333","211050000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Population, total","SP.POP.TOTL","265955","267049","268187","269336","270451","271515","272500","273425","274329","275284","276323","277477","278700","279946","281104","282131","282987","283700","284296","284825","285324","285796","286233","286641","287000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Population, total","SP.POP.TOTL","297114","304622","311958","319144","326210","333165","340034","346782","353293","359433","365114","370263","374965","379421","383906","388646","393688","398989","404421","409769","414907","419800","424473","428962","433000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Population, total","SP.POP.TOTL","534620","541465","551709","564377","577881","591021","603640","616018","627839","638815","648739","657410","664876","671613","678323","685503","693298","701583","710238","719056","727876","736709","745568","754394","763000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Population, total","SP.POP.TOTL","1469174","1504730","1540425","1575824","1610264","1643334","1674678","1704642","1734398","1765527","1799078","1835908","1875459","1915639","1953498","1987105","2015402","2039551","2062536","2088614","2120716","2159944","2205128","2254126","2304000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Population, total","SP.POP.TOTL","3222656","3308233","3392436","3475492","3558014","3640427","3722018","3802128","3881181","3959875","4038382","4118069","4198010","4273366","4337625","4386768","4418636","4436415","4447942","4464175","4493170","4537687","4596028","4666377","4745000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Population, total","SP.POP.TOTL","29302311","29610218","29905948","30155173","30401286","30685730","31020902","31360079","31644028","31940655","32243753","32571174","32889025","33247118","33628895","34004889","34339328","34714222","35082954","35437435","35702908","36109487","36543321","37057765","37375000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Population, total","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Population, total","SP.POP.TOTL","7040687","7071850","7088906","7110001","7143991","7184250","7229854","7284753","7339001","7389625","7437115","7483934","7551117","7647675","7743831","7824909","7912398","7996861","8089346","8188649","8282396","8373338","8451840","8513227","8580000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Population, total","SP.POP.TOTL","143484","144335","145373","146498","147555","148443","149097","149596","150068","150716","151678","153008","154636","156433","158178","159734","160998","162056","163038","164100","165385","166923","168665","170499","172000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Population, total","SP.POP.TOTL","14380866","14587370","14786220","14977733","15162800","15342353","15516113","15684409","15849652","16014971","16182721","16354504","16530195","16708258","16886186","17062536","17233576","17400347","17571507","17758959","17969353","18209068","18470439","18729160","18952000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Population, total","SP.POP.TOTL","1204855000","1217550000","1230075000","1241935000","1252735000","1262645000","1271850000","1280400000","1288400000","1296075000","1303720000","1311020000","1317885000","1324655000","1331260000","1337705000","1344130000","1350695000","1357380000","1364270000","1371220000","1378665000","1386395000","1392730000","1397295000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Population, total","SP.POP.TOTL","14199762","14665127","15130663","15589414","16032573","16454668","16853026","17231539","17599610","17970494","18354514","18754916","19171237","19605569","20059147","20532950","21028655","21547188","22087505","22647683","23226143","23822714","24437469","25069229","25717000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Population, total","SP.POP.TOTL","13599988","13970813","14344449","14723768","15112592","15513945","15928910","16357602","16800865","17259322","17733410","18223674","18730282","19252666","19789919","20341241","20906388","21485266","22077298","22681858","23298368","23926539","24566045","25216237","25876000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Population, total","SP.POP.TOTL","41576234","42757243","43827180","44849967","45919613","47105826","48428545","49871666","51425580","53068880","54785903","56578037","58453683","60411195","62448574","64563854","66755153","69020747","71358807","73767447","76244544","78789127","81398764","84068091","86791000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Population, total","SP.POP.TOTL","2707537","2785810","2867280","2951647","3038433","3127411","3217933","3310387","3406922","3510468","3622775","3745141","3876119","4011486","4145391","4273731","4394844","4510198","4622761","4736974","4856095","4980999","5110702","5244363","5381000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cook Islands","COK","Population, total","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Population, total","SP.POP.TOTL","36421438","37076387","37723800","38364309","38999471","39629968","40255967","40875360","41483869","42075955","42647723","43200897","43737516","44254975","44750054","45222700","45663099","46076848","46497267","46969209","47520667","48171392","48901066","49648685","50339000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Comoros","COM","Population, total","SP.POP.TOTL","475394","488627","501953","515385","528848","542357","555888","569479","583211","597228","611627","626425","641620","657229","673252","689692","706569","723871","741505","759390","777424","795592","813892","832322","851000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Population, total","SP.POP.TOTL","386284","395533","404259","412514","420452","428188","435709","442951","449930","456617","463032","469170","475060","480842","486671","492654","498856","505235","511748","518269","524743","531146","537497","543767","550000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Population, total","SP.POP.TOTL","3545534","3632362","3718949","3803887","3885430","3962372","4034074","4100925","4164053","4225155","4285502","4345412","4404628","4463125","4520740","4577378","4633086","4688000","4742107","4795396","4847804","4899345","4949954","4999441","5048000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Population, total","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Population, total","SP.POP.TOTL","10888252","10939293","10989732","11038692","11084670","11126430","11164667","11199651","11229183","11250365","11261582","11261248","11251122","11236971","11226709","11225832","11236670","11257101","11282720","11306902","11324781","11335109","11339259","11338138","11333000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Population, total","SP.POP.TOTL","","","","144472","139428","133860","128905","128804","131253","133363","136708","140217","143026","144971","145890","149311","150612","152056","153500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Population, total","SP.POP.TOTL","32166","34065","36156","38329","40420","42303","43935","45351","46632","47902","49261","50740","52280","53836","55322","56672","57878","58958","59932","60848","61724","62569","63382","64174","65000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
